conversation_hash,category,annotator_hw,hw_flag,pasted_turns,evidence,reasoning,raw_last_line,prompt_tokens,completion_tokens,cached_tokens
0083fce71cbdac49cfe6689ecb9b8a7c,C,1,1,[],,no signals,,0,0,0
00ab50477d17985dc02ab244e2a594ff,C,0,0,[],,no signals,,0,0,0
0143bd43590f07daf85a99dbe7950048,C,0,0,[],,no signals,,0,0,0
014510269b3045362d8c8a7933ed6c4d,C,0,0,[],,no signals,,0,0,0
01bf735cce675bde918845d1a27ddf4e,C,0,0,[],,no signals,,0,0,0
0258767c7f7314d4c9d36bac1c74186e,A,1,1,"[2, 9]",starter code / courseware: “# Write your code here (Preferably use the 2D_convolution() fu” | pdf / latex paste artifacts: “u have a quadratic polynomial $ax^2 + bx + c$ represented as using the”,strong=['starter code / courseware'] medium=['pdf / latex paste artifacts'],,0,0,0
02f363e64043e012a476eb333f3557ef,A,0,1,"[3, 4]",homework self-report: “ur WordCount application from Homework #1. Answer the following based ” | LMS / quiz artifacts: “line number) one instance of: a. A transformation that results in a wi” | numbered question/task: “Part 2 - Code Analysis [16/30 points] Read thro” | multiple choice: “line number) one instance of: a. A transformation that results in a wi”,"strong=['homework self-report', 'LMS / quiz artifacts'] medium=['numbered question/task', 'multiple choice']",,0,0,0
06ffda0c3ba5795fe18a58e064c4e0bc,C,0,0,[],,no signals,,0,0,0
07214818b964927281d537d1d3affee4,C,0,0,[],,no signals,,0,0,0
074555a89975b7a274ff9c6bc9836949,C,0,0,[],,no signals,,0,0,0
08de76bb97bc4d54f286032e20f6410a,C,0,0,[],,no signals,,0,0,0
08f7f5d0ee7dbaa7f2ed119c0108c7ac,C,0,0,[],,no signals,,0,0,0
093b8472acec5037398cf20ba1110ca4,C,1,1,[],,no signals,,0,0,0
0a1f8e8c0177965309fdf906e25fdb6a,C,0,0,[],,no signals,,0,0,0
0a81bbe6c65cf471c98995248a69b206,C,0,0,[],,no signals,,0,0,0
0b75d53aa5ac295e8f6e87b046dc13ad,C,0,0,[],,no signals,,0,0,0
0b8cfd83c611dc783b1b0d9ae64f9d4d,C,0,0,[],,no signals,,0,0,0
0d4fdb965527900d8d7b19924fae8206,C,0,0,[],,no signals,,0,0,0
0d6691354471faee1f905d1ff3d30069,A,1,1,[2],marks/points: “esponding error (using RMSE). (15 marks)”,strong=['marks/points'] medium=[],,0,0,0
0df67725e948af8971e234fcf31bdca4,C,1,1,[],instructor persona / directive: “now a day an emerging field. In this project we will design automated ”,strong=[] medium=['instructor persona / directive'],,0,0,0
